RPM;speed
955;0
1405;0
1929;0
1707;0
1762;7
1229;13
1518;18
1886;24
1937;27
1620;30
1758;32
1846;34
1870;35
1965;36
1949;37
1932;37
1932;36
1868;35
1865;35
1812;34
1724;32
1778;33
1740;33
1826;34
1914;35
1943;36
1922;36
1848;35
1753;33
1747;32
1806;34
1860;35
1906;35
1883;35
1940;36
1969;37
1999;37
1990;37
1977;37
1912;36
1832;35
1746;33
1673;31
1657;31
1734;32
1790;33
1829;34
1867;35
1869;35
1899;35
1943;36
1998;37
1964;36
1838;35
1100;30
944;24
861;16
823;12
804;8
848;8
840;0
843;0
830;0
830;0
830;0
823;0
828;0
812;0
817;0
820;0
817;0
817;0
799;0
794;0
815;0
787;0
815;0
808;0
783;0
777;0
801;0
802;0
810;0
2086;0
2327;0
1849;0
1550;0
1815;11
2136;14
1799;15
940;13
843;11
1121;10
1142;10
907;10
1076;13
1288;15
1567;19
1897;24
2260;29
1745;32
1945;36
2114;39
2265;42
2010;43
1770;45
1740;45
1689;44
1661;42
1592;41
1394;37
888;31
760;29
715;26
779;25
801;21
798;17
784;12
750;9
745;6
774;6
777;0
760;0
757;0
782;0
768;0
762;0
774;0
770;0
768;0
777;0
778;0
774;0
771;0
784;0
783;0
780;0
784;0
784;0
788;0
773;0
765;0
775;0
789;0
770;0
787;0
752;0
788;0
761;0
767;0
751;0
778;0
768;0
782;0
736;0
777;0
796;0
750;0
779;0
757;0
791;0
776;0
786;0
776;0
771;0
758;0
759;0
770;0
769;0
810;0
1963;0
1517;8
2109;15
1339;16
1543;20
1722;22
1698;23
1573;22
1534;20
1518;20
1742;22
2108;27
2343;31
2596;34
1860;34
1967;36
2035;38
2050;39
2014;38
2027;38
2065;39
2055;39
1510;39
1555;40
1548;40
1509;39
1461;37
1398;36
997;34
785;31
761;24
764;19
759;15
786;10
785;9
753;8
752;8
758;7
722;4
769;4
766;0
772;0
915;0
2015;0
1624;0
2136;12
1721;17
1668;21
1908;25
1931;25
1925;25
1931;25
1962;26
1998;26
2074;27
2194;28
1795;29
1743;32
1845;34
1918;35
1995;37
2020;38
2039;38
2016;38
2071;39
2185;41
2256;42
1731;44
1792;46
1820;46
1800;46
1749;45
1722;44
1755;45
1760;45
1755;45
1751;45
1728;45
1753;45
1775;45
1801;46
1817;46
1779;46
1743;45
1778;45
1789;46
1832;47
1891;48
1955;50
1999;52
2089;54
2144;55
2161;55
2180;56
2175;56
2167;56
2107;54
2022;52
1946;50
1889;48
1844;48
1807;46
1764;45
1704;44
953;41
747;37
763;32
815;28
764;24
795;19
759;14
728;10
758;6
680;0
746;0
735;0
746;0
760;0
727;0
734;0
734;0
768;0
743;0
759;0
750;0
772;0
754;0
765;0
781;0
761;0
764;0
773;0
760;0
757;0
761;0
757;0
769;0
750;0
770;0
768;0
752;0
758;0
742;0
767;0
759;0
732;0
762;0
762;0
754;0
758;0
783;0
775;0
740;0
763;0
761;0
734;0
741;0
757;0
759;0
744;0
766;0
755;0
752;0
787;0
771;0
750;0
753;0
747;0
765;0
765;0
760;0
752;0
776;0
742;0
785;0
1867;0
1903;0
1853;7
2354;17
1569;18
1401;17
1387;18
1409;18
1353;18
1333;17
1391;18
1379;18
1556;19
1803;23
2064;27
2165;29
2017;27
1917;25
1885;25
1915;25
2058;27
2201;29
2345;31
1632;31
1811;34
1936;36
1960;37
2076;38
2181;41
2192;41
2183;41
2246;42
2252;42
2241;42
2280;42
2295;43
2313;43
2328;44
2338;44
2348;44
2390;45
2345;44
2394;45
2390;45
2349;44
1745;45
1768;44
1795;45
1844;47
1867;48
1849;47
1844;47
1838;47
1852;47
1857;47
1882;48
1888;49
1903;49
1879;48
1859;48
1842;47
1803;46
1757;45
1730;44
1733;44
1748;45
1762;45
1727;44
1706;44
1692;44
1694;43
1699;43
1742;44
1743;45
1732;44
1715;44
1701;44
1732;44
1738;44
1748;44
1787;45
1789;46
1790;46
1763;45
1760;45
1778;46
1802;46
1835;47
1852;47
1877;48
1858;48
1849;48
1839;47
1874;48
1869;48
1858;48
1863;47
1827;47
1860;47
1843;47
1861;47
1840;47
1818;47
1772;46
1642;42
868;36
755;32
773;29
777;27
734;25
742;23
773;23
786;22
752;21
708;19
745;16
812;15
1534;14
1254;14
775;14
737;10
1917;9
2173;13
2345;18
1691;21
2152;28
2510;32
1998;34
2048;38
2193;41
2251;42
2290;43
2258;42
2187;41
2099;40
2152;40
2278;42
1709;43
1771;45
1860;48
1902;49
1959;50
1999;51
